id,Z-0_MD_AA,Z-1_MD_AA,Z-2_MD_AA,Z-3_MD_AA,Z-4_MD_AA,Z-5_MD_AA,Z-6_MD_AA,I-0_MD_AA,I-1_MD_AA,I-2_MD_AA,I-3_MD_AA,I-4_MD_AA,I-5_MD_AA,I-6_MD_AA,T-0_MD_AA,T-1_MD_AA,T-2_MD_AA,T-3_MD_AA,T-4_MD_AA,T-5_MD_AA,T-6_MD_AA,S-0_MD_AA,S-1_MD_AA,S-2_MD_AA,S-3_MD_AA,S-4_MD_AA,S-5_MD_AA,S-6_MD_AA,chi-0_MD_AA,chi-1_MD_AA,chi-2_MD_AA,chi-3_MD_AA,chi-4_MD_AA,chi-5_MD_AA,chi-6_MD_AA
ir_tbp_1_dft-pyz_1_dft-pet3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,0.0,274.0,496.0,1110.0,1134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,29.0,44.0,0.0,0.0,0.0,2.4,4.78,13.98,16.1,0.0,0.0,0.0,-1.53,-2.94,-2.1,-0.84,0.0,0.0
ir_tbp_1_dft-iz_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,0.0,273.0,428.0,648.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,8.0,45.0,0.0,0.0,0.0,2.42,4.56,6.98,16.5,0.0,0.0,0.0,-1.92,-3.22,-2.94,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,0.0,248.0,567.0,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,60.0,0.0,0.0,0.0,0.0,1.92,5.46,22.0,0.0,0.0,0.0,0.0,-0.67,-3.29,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-pme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,0.0,266.0,566.0,1424.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,45.0,36.0,0.0,0.0,0.0,2.04,5.48,19.22,13.2,0.0,0.0,0.0,-0.68,-3.78,-1.4,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-pph3_1_dft-iacn_1_fluoride_1_smi1_1_s_1,0.0,263.0,496.0,1166.0,1794.0,669.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,24.0,60.0,21.0,9.0,0.0,2.2,4.78,13.4,23.88,8.64,3.3,0.0,-2.11,-2.94,-3.5,-2.1,-1.05,0.0
ir_tbp_1_dft-iz_1_dft-oxaz_1_dft-co_1_dft-cn_1_smi1_1_s_1,0.0,282.0,423.0,661.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,19.0,12.0,0.0,0.0,0.0,2.76,4.17,8.31,4.4,0.0,0.0,0.0,-2.38,-3.48,-2.78,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-cn_1_smi1_1_s_1,0.0,274.0,494.0,720.0,1105.0,745.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,14.0,31.0,24.0,9.0,0.0,2.4,4.85,7.64,13.56,9.74,3.3,0.0,-1.53,-3.83,-2.8,-2.45,-1.05,0.0
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,0.0,411.0,495.0,1368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,90.0,0.0,0.0,0.0,0.0,3.92,4.83,19.8,0.0,0.0,0.0,0.0,-4.5,-3.34,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,0.0,420.0,352.0,654.0,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,29.0,64.0,0.0,0.0,0.0,4.26,3.46,7.38,13.9,0.0,0.0,0.0,-4.86,-3.22,-2.1,-0.84,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,0.0,394.0,423.0,1044.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,60.0,40.0,0.0,0.0,0.0,3.78,4.14,13.72,8.8,0.0,0.0,0.0,-4.0,-3.57,-1.4,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,0.0,264.0,572.0,1181.0,1110.0,669.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,33.0,33.0,21.0,9.0,0.0,2.11,5.88,14.66,13.98,8.64,3.3,0.0,-1.57,-2.94,-2.45,-2.1,-1.05,0.0
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,0.0,393.0,425.0,1123.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,68.0,25.0,0.0,0.0,0.0,3.8,4.1,15.31,5.5,0.0,0.0,0.0,-4.49,-2.59,-1.94,0.0,0.0,0.0
