id,Z-0_MA_AA,Z-1_MA_AA,Z-2_MA_AA,Z-3_MA_AA,Z-4_MA_AA,Z-5_MA_AA,Z-6_MA_AA,I-0_MA_AA,I-1_MA_AA,I-2_MA_AA,I-3_MA_AA,I-4_MA_AA,I-5_MA_AA,I-6_MA_AA,T-0_MA_AA,T-1_MA_AA,T-2_MA_AA,T-3_MA_AA,T-4_MA_AA,T-5_MA_AA,T-6_MA_AA,S-0_MA_AA,S-1_MA_AA,S-2_MA_AA,S-3_MA_AA,S-4_MA_AA,S-5_MA_AA,S-6_MA_AA,chi-0_MA_AA,chi-1_MA_AA,chi-2_MA_AA,chi-3_MA_AA,chi-4_MA_AA,chi-5_MA_AA,chi-6_MA_AA
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-iacn_1_fluoride_1_smi1_1_s_1,5929.0,2849.0,3311.0,3927.0,3465.0,1848.0,231.0,1.0,4.0,7.0,16.0,15.0,9.0,3.0,16.0,44.0,92.0,124.0,108.0,60.0,12.0,1.988,4.343,7.177,11.139,10.11,5.71,1.311,4.84,25.872,40.348,82.83,77.22,45.87,14.52
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-co_1_chloride_1_smi1_1_s_1,5929.0,4081.0,2310.0,1771.0,693.0,0.0,0.0,1.0,5.0,5.0,13.0,3.0,0.0,0.0,25.0,60.0,90.0,85.0,20.0,0.0,0.0,1.988,5.908,5.146,6.867,1.875,0.0,0.0,4.84,31.636,28.05,64.46,16.368,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-nme3_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,5929.0,4235.0,3003.0,1848.0,231.0,0.0,0.0,1.0,8.0,8.0,13.0,3.0,0.0,0.0,64.0,192.0,176.0,136.0,24.0,0.0,0.0,1.988,7.952,7.022,6.838,1.311,0.0,0.0,4.84,52.03,44.418,65.538,14.52,0.0,0.0
ir_tbp_1_dft-iz_1_dft-py_1_dft-co_1_chloride_1_smi1_1_s_1,5929.0,3927.0,1925.0,2233.0,308.0,0.0,0.0,1.0,6.0,5.0,8.0,4.0,0.0,0.0,36.0,90.0,78.0,96.0,24.0,0.0,0.0,1.988,6.43,4.554,5.837,1.748,0.0,0.0,4.84,39.116,27.28,42.878,19.36,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,5929.0,2464.0,2926.0,2464.0,231.0,0.0,0.0,1.0,5.0,7.0,10.0,3.0,0.0,0.0,25.0,70.0,85.0,85.0,15.0,0.0,0.0,1.988,5.09,6.585,6.683,1.311,0.0,0.0,4.84,30.206,39.578,53.636,14.52,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-iz_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,5929.0,4081.0,3311.0,3157.0,154.0,0.0,0.0,1.0,4.0,7.0,15.0,2.0,0.0,0.0,16.0,44.0,88.0,76.0,8.0,0.0,0.0,1.988,4.709,7.177,8.756,0.874,0.0,0.0,4.84,23.782,40.348,76.054,9.68,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-iacn_1_fluoride_1_smi1_1_s_1,5929.0,2849.0,2849.0,3465.0,1078.0,0.0,0.0,1.0,4.0,6.0,14.0,14.0,0.0,0.0,16.0,40.0,80.0,120.0,56.0,0.0,0.0,1.988,4.343,6.148,9.644,6.119,0.0,0.0,4.84,25.872,34.738,73.458,67.76,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-phos_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,5929.0,5390.0,2926.0,1848.0,616.0,77.0,0.0,1.0,4.0,7.0,14.0,3.0,1.0,0.0,16.0,44.0,84.0,72.0,20.0,4.0,0.0,1.988,5.696,6.585,7.304,1.904,0.437,0.0,4.84,20.9,39.578,69.3,15.29,4.84,0.0
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-iacn_1_fluoride_1_smi1_1_s_1,5929.0,2849.0,2387.0,2849.0,1001.0,77.0,0.0,1.0,4.0,5.0,10.0,8.0,1.0,0.0,16.0,36.0,60.0,84.0,40.0,4.0,0.0,1.988,4.343,5.118,7.233,4.089,0.437,0.0,4.84,25.872,29.128,54.208,39.49,4.84,0.0
ir_tbp_1_dft-pyz_1_dft-pet3_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,5929.0,2695.0,3311.0,3619.0,1386.0,0.0,0.0,1.0,4.0,7.0,15.0,12.0,0.0,0.0,16.0,44.0,88.0,112.0,52.0,0.0,0.0,1.988,4.54,7.177,10.011,5.809,0.0,0.0,4.84,23.804,40.348,79.178,59.928,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-phos_1_dft-co_1_dft-cch_1_smi1_1_s_1,5929.0,3234.0,3388.0,1848.0,616.0,77.0,0.0,1.0,4.0,7.0,14.0,3.0,1.0,0.0,16.0,44.0,84.0,72.0,20.0,4.0,0.0,1.988,5.076,7.106,7.304,1.904,0.437,0.0,4.84,20.856,41.228,69.3,15.29,4.84,0.0
ir_tbp_1_dft-asme3_1_dft-py_1_dft-hicn_1_fluoride_1_smi1_1_s_1,5929.0,4235.0,2849.0,1848.0,616.0,77.0,0.0,1.0,4.0,6.0,14.0,3.0,1.0,0.0,16.0,40.0,80.0,72.0,20.0,4.0,0.0,1.988,4.512,6.148,7.304,1.904,0.437,0.0,4.84,25.85,34.738,69.3,15.29,4.84,0.0
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,5929.0,2695.0,3311.0,2926.0,385.0,0.0,0.0,1.0,4.0,7.0,15.0,5.0,0.0,0.0,16.0,44.0,88.0,88.0,20.0,0.0,0.0,1.988,4.54,7.177,8.798,2.186,0.0,0.0,4.84,23.804,40.348,78.716,24.2,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,5929.0,2695.0,3850.0,3773.0,693.0,0.0,0.0,1.0,4.0,8.0,19.0,9.0,0.0,0.0,16.0,48.0,108.0,112.0,36.0,0.0,0.0,1.988,4.54,8.136,11.125,3.934,0.0,0.0,4.84,23.804,46.838,95.106,43.56,0.0,0.0
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-hicn_1_chloride_1_smi1_1_s_1,5929.0,2849.0,2849.0,1925.0,154.0,0.0,0.0,1.0,4.0,6.0,14.0,2.0,0.0,0.0,16.0,40.0,80.0,72.0,8.0,0.0,0.0,1.988,4.47,6.148,7.276,0.874,0.0,0.0,4.84,25.938,34.738,70.378,9.68,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,5929.0,2772.0,3003.0,5082.0,4235.0,1848.0,231.0,1.0,4.0,6.0,11.0,25.0,9.0,3.0,16.0,40.0,68.0,152.0,148.0,60.0,12.0,1.988,4.371,6.091,11.322,14.481,5.71,1.311,4.84,24.794,36.894,61.71,125.62,45.87,14.52
ir_tbp_1_dft-iz_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,5929.0,3465.0,1848.0,2464.0,308.0,0.0,0.0,1.0,5.0,4.0,9.0,4.0,0.0,0.0,25.0,55.0,65.0,85.0,20.0,0.0,0.0,1.988,5.4,4.117,6.176,1.748,0.0,0.0,4.84,33.506,22.44,49.676,19.36,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-phos_1_dft-co_1_dft-no2_1_smi1_1_s_1,5929.0,3927.0,2926.0,1771.0,616.0,77.0,0.0,1.0,6.0,6.0,13.0,3.0,1.0,0.0,36.0,96.0,114.0,102.0,30.0,6.0,0.0,1.988,6.401,6.077,6.867,1.904,0.437,0.0,4.84,38.94,35.618,64.46,15.29,4.84,0.0
ir_tbp_1_dft-pyz_1_dft-oxaz_1_dft-co_1_dft-sh_1_smi1_1_s_1,5929.0,3234.0,2618.0,2464.0,231.0,0.0,0.0,1.0,5.0,7.0,9.0,3.0,0.0,0.0,25.0,70.0,80.0,80.0,15.0,0.0,0.0,1.988,5.541,5.922,6.176,1.311,0.0,0.0,4.84,30.272,39.688,49.676,14.52,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,5929.0,2618.0,3465.0,3619.0,1001.0,0.0,0.0,1.0,4.0,7.0,15.0,13.0,0.0,0.0,16.0,44.0,88.0,120.0,52.0,0.0,0.0,1.988,4.568,7.12,10.011,5.682,0.0,0.0,4.84,22.726,42.504,79.178,62.92,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-phos_1_dft-hicn_1_chloride_1_smi1_1_s_1,5929.0,3465.0,2387.0,2233.0,1309.0,77.0,0.0,1.0,4.0,5.0,9.0,6.0,1.0,0.0,16.0,36.0,56.0,68.0,36.0,4.0,0.0,1.988,4.977,5.118,6.303,3.779,0.437,0.0,4.84,24.068,29.128,46.64,31.658,4.84,0.0
ir_tbp_1_dft-nme3_1_dft-oxaz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,5929.0,2079.0,3311.0,2695.0,154.0,0.0,0.0,1.0,4.0,7.0,16.0,2.0,0.0,0.0,16.0,44.0,92.0,80.0,8.0,0.0,0.0,1.988,4.033,7.177,8.573,0.874,0.0,0.0,4.84,25.674,40.348,83.666,9.68,0.0,0.0
ir_tbp_1_dft-ime_1_dft-phos_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,5929.0,2695.0,2618.0,3003.0,1232.0,77.0,0.0,1.0,4.0,6.0,9.0,11.0,1.0,0.0,16.0,40.0,60.0,92.0,52.0,4.0,0.0,1.988,4.498,5.499,7.487,5.4,0.437,0.0,4.84,23.606,36.124,48.18,54.01,4.84,0.0
ir_tbp_1_dft-pyz_1_dft-pet3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,5929.0,2772.0,2926.0,3003.0,1386.0,0.0,0.0,1.0,4.0,7.0,14.0,12.0,0.0,0.0,16.0,44.0,84.0,108.0,52.0,0.0,0.0,1.988,4.47,6.585,9.08,5.809,0.0,0.0,4.84,24.684,39.578,71.61,59.928,0.0,0.0
