id,Z-0_MS_AB,Z-1_MS_AB,Z-2_MS_AB,Z-3_MS_AB,Z-4_MS_AB,Z-5_MS_AB,Z-6_MS_AB,I-0_MS_AB,I-1_MS_AB,I-2_MS_AB,I-3_MS_AB,I-4_MS_AB,I-5_MS_AB,I-6_MS_AB,T-0_MS_AB,T-1_MS_AB,T-2_MS_AB,T-3_MS_AB,T-4_MS_AB,T-5_MS_AB,T-6_MS_AB,S-0_MS_AB,S-1_MS_AB,S-2_MS_AB,S-3_MS_AB,S-4_MS_AB,S-5_MS_AB,S-6_MS_AB,chi-0_MS_AB,chi-1_MS_AB,chi-2_MS_AB,chi-3_MS_AB,chi-4_MS_AB,chi-5_MS_AB,chi-6_MS_AB
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,940.0,1408.7,2343.3,3513.2,0.0,0.0,0.0,28.0,40.7,63.3,93.2,0.0,0.0,0.0,64.0,94.7,153.3,228.2,0.0,0.0,0.0,32.92,48.116,75.623,111.672,0.0,0.0,0.0,42.4,62.336,99.323,147.222,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-oxaz_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,1412.1,1880.0,3512.2,702.7,0.0,0.0,0.0,44.1,56.0,92.2,18.7,0.0,0.0,0.0,134.1,176.0,317.2,63.7,0.0,0.0,0.0,51.53,65.807,110.642,22.365,0.0,0.0,0.0,65.75,84.767,146.192,29.475,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,1412.3,1880.0,2578.8,4219.9,2814.0,702.3,0.0,44.3,56.0,70.8,115.9,78.0,18.3,0.0,134.3,176.0,235.8,385.9,258.0,63.3,0.0,51.667,65.823,84.337,137.999,92.793,21.993,0.0,65.887,84.783,110.407,180.659,121.233,29.103,0.0
ir_tbp_1_dft-py_1_dft-py_1_dft-iacn_1_bromide_1_smi1_1_s_1,1648.5,2582.2,2109.4,1639.0,0.0,0.0,0.0,52.5,74.2,57.4,43.0,0.0,0.0,0.0,178.5,272.2,219.4,169.0,0.0,0.0,0.0,61.093,87.68,68.493,51.648,0.0,0.0,0.0,77.683,113.75,89.823,68.238,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-co_1_dft-sh_1_smi1_1_s_1,940.7,1643.8,3044.9,702.5,0.0,0.0,0.0,28.7,47.8,80.9,18.5,0.0,0.0,0.0,64.7,110.8,197.9,45.5,0.0,0.0,0.0,33.619,56.407,96.894,22.187,0.0,0.0,0.0,43.099,72.997,127.704,29.297,0.0,0.0,0.0
ir_tbp_1_dft-sime_1_dft-sime_1_dft-co_1_dft-no2_1_smi1_1_s_1,1412.0,1644.1,1875.6,5151.3,0.0,0.0,0.0,44.0,48.1,51.6,135.3,0.0,0.0,0.0,134.0,153.1,171.6,465.3,0.0,0.0,0.0,51.379,56.696,61.482,162.365,0.0,0.0,0.0,65.599,73.286,80.442,214.505,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_bromide_1_smi1_1_s_1,1176.6,1407.4,3044.9,702.5,0.0,0.0,0.0,36.6,39.4,80.9,18.5,0.0,0.0,0.0,96.6,111.4,236.9,54.5,0.0,0.0,0.0,42.75,46.753,96.89,22.185,0.0,0.0,0.0,54.6,60.973,127.7,29.295,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_bromide_1_smi1_1_s_1,1177.2,1644.9,4213.9,0.0,0.0,0.0,0.0,37.2,48.9,109.9,0.0,0.0,0.0,0.0,97.2,132.9,325.9,0.0,0.0,0.0,0.0,43.381,57.534,132.064,0.0,0.0,0.0,0.0,55.231,74.124,174.724,0.0,0.0,0.0,0.0
ir_tbp_1_dft-py_1_dft-sime_1_dft-hicn_1_iodide_1_smi1_1_s_1,940.7,1173.7,2110.8,3512.7,234.1,0.0,0.0,28.7,33.7,58.8,92.7,6.1,0.0,0.0,64.7,78.7,139.8,227.7,15.1,0.0,0.0,33.646,39.812,69.904,111.107,7.331,0.0,0.0,43.126,51.662,91.234,146.657,9.701,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,1412.4,1880.3,3278.8,2575.6,0.0,0.0,0.0,44.4,56.3,86.8,67.6,0.0,0.0,0.0,134.4,176.3,296.8,232.6,0.0,0.0,0.0,51.807,66.15,104.025,81.18,0.0,0.0,0.0,66.027,85.11,137.205,107.25,0.0,0.0,0.0
