id,Z-0_FS_AB,Z-1_FS_AB,Z-2_FS_AB,Z-3_FS_AB,Z-4_FS_AB,Z-5_FS_AB,Z-6_FS_AB,I-0_FS_AB,I-1_FS_AB,I-2_FS_AB,I-3_FS_AB,I-4_FS_AB,I-5_FS_AB,I-6_FS_AB,T-0_FS_AB,T-1_FS_AB,T-2_FS_AB,T-3_FS_AB,T-4_FS_AB,T-5_FS_AB,T-6_FS_AB,S-0_FS_AB,S-1_FS_AB,S-2_FS_AB,S-3_FS_AB,S-4_FS_AB,S-5_FS_AB,S-6_FS_AB,chi-0_FS_AB,chi-1_FS_AB,chi-2_FS_AB,chi-3_FS_AB,chi-4_FS_AB,chi-5_FS_AB,chi-6_FS_AB
ir_tbp_1_dft-iz_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,2284.9,3155.7,4283.4,5841.9,2931.3,1538.1,1198.6,412.9,761.7,950.4,1149.9,1215.3,728.1,655.6,772.9,1259.7,1604.4,1839.9,1677.3,1088.1,895.6,352.045,624.857,782.405,935.915,940.235,557.066,482.457,717.865,1329.647,1644.005,1960.955,2115.455,1207.826,1081.827
ir_tbp_1_dft-pyz_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,2237.2,3864.9,5918.5,3927.3,2770.3,1808.2,277.0,398.2,726.9,1073.5,1527.3,1129.3,731.2,187.0,734.2,1251.9,1874.5,2136.3,1498.3,881.2,187.0,343.477,610.598,914.183,1199.15,894.061,562.968,129.381,677.197,1233.398,1807.463,2541.65,1875.691,1204.398,297.321
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,2050.0,3461.1,5743.0,3801.7,2637.8,1763.7,673.1,394.0,665.1,937.0,1323.7,1083.8,1031.7,475.1,694.0,1085.1,1591.0,1830.7,1590.8,1310.7,508.1,338.341,563.241,803.115,1039.274,870.752,757.127,328.86,659.041,1088.541,1546.275,2161.784,1781.702,1673.897,779.97
ir_tbp_1_dft-pph3_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,3235.0,5340.5,8207.7,11628.5,11004.0,10196.3,9098.5,799.0,1362.5,1994.7,2496.5,3099.0,3794.3,3953.5,1417.0,2286.5,3344.7,4029.5,4929.0,5831.3,5825.5,678.85,1140.796,1671.263,2083.653,2570.783,3078.38,3102.646,1347.85,2272.846,3312.563,4120.683,5173.313,6345.68,6596.116
ir_tbp_1_dft-iz_1_dft-py_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,2339.5,3767.9,4846.4,4863.8,3082.0,2520.8,1599.2,425.5,731.9,1003.4,1107.8,1129.0,999.8,726.2,761.5,1238.9,1645.4,1722.8,1681.0,1413.8,924.2,368.919,623.876,848.034,926.651,925.247,795.176,547.659,724.449,1243.676,1686.264,1847.381,1898.237,1650.536,1187.199
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,2213.0,4134.8,7028.5,4569.9,3031.0,2024.7,659.9,437.0,822.8,1100.5,1755.9,1387.0,1484.7,659.9,815.0,1314.8,1916.5,2391.9,2107.0,1808.7,659.9,369.999,680.015,939.35,1340.99,1071.0,1033.293,436.351,725.559,1321.055,1792.43,2876.39,2276.88,2386.533,1048.711
ir_tbp_1_dft-pet3_1_dft-py_1_dft-co_1_dft-cch_1_smi1_1_s_1,2337.0,3976.1,6435.0,6856.2,4653.3,3307.8,1758.1,507.0,904.1,1317.0,1693.2,2046.3,1717.8,1077.1,921.0,1504.1,2139.0,2659.2,2865.3,2272.8,1383.1,429.167,747.639,1089.824,1376.939,1583.745,1292.254,781.724,846.167,1479.639,2151.314,2781.239,3370.605,2809.354,1739.054
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-hicn_1_chloride_1_smi1_1_s_1,2062.7,2977.1,4457.6,5619.2,2993.6,2047.4,1364.8,403.7,670.1,857.6,1032.2,1064.6,895.4,764.8,709.7,1078.1,1421.6,1596.2,1514.6,1309.4,1007.8,345.392,559.627,728.513,864.552,857.213,698.98,565.253,695.132,1150.267,1467.893,1730.832,1814.393,1503.04,1245.113
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,2000.4,3671.9,6580.4,3488.1,2715.9,989.5,0.0,389.4,728.9,1039.4,1685.1,1203.9,989.5,0.0,725.4,1196.9,1819.4,2225.1,1689.9,989.5,0.0,329.887,597.669,885.732,1277.143,939.861,654.178,0.0,651.037,1193.379,1703.592,2756.503,2020.941,1572.718,0.0
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,1846.8,2861.6,5164.9,3071.6,1792.0,1260.9,307.0,349.8,614.6,835.9,1142.6,730.0,741.9,307.0,631.8,1010.6,1405.9,1493.6,1108.0,951.9,307.0,295.341,502.478,702.33,870.393,579.451,537.198,203.459,603.891,1055.768,1414.83,1940.013,1240.081,1219.428,486.959
