id,Z-0_FD_AB,Z-1_FD_AB,Z-2_FD_AB,Z-3_FD_AB,Z-4_FD_AB,Z-5_FD_AB,Z-6_FD_AB,I-0_FD_AB,I-1_FD_AB,I-2_FD_AB,I-3_FD_AB,I-4_FD_AB,I-5_FD_AB,I-6_FD_AB,T-0_FD_AB,T-1_FD_AB,T-2_FD_AB,T-3_FD_AB,T-4_FD_AB,T-5_FD_AB,T-6_FD_AB,S-0_FD_AB,S-1_FD_AB,S-2_FD_AB,S-3_FD_AB,S-4_FD_AB,S-5_FD_AB,S-6_FD_AB,chi-0_FD_AB,chi-1_FD_AB,chi-2_FD_AB,chi-3_FD_AB,chi-4_FD_AB,chi-5_FD_AB,chi-6_FD_AB
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,1549.9,2671.9,5615.1,1687.5,1771.6,761.7,0.0,-28.1,-52.1,-90.9,-118.5,-112.4,-48.3,0.0,313.9,421.9,707.1,463.5,481.6,-48.3,0.0,-92.739,-197.139,-248.881,-538.918,-380.168,-418.227,0.0,254.511,456.771,600.209,1023.152,746.602,684.993,0.0
ir_tbp_1_dft-ime_1_dft-py_1_dft-co_1_dft-cn_1_smi1_1_s_1,1617.2,2400.4,3253.4,4339.9,1800.0,1293.4,597.7,-35.8,-59.6,-82.6,-106.1,-111.0,-92.6,-47.3,282.2,384.4,517.4,490.9,390.0,267.4,216.7,-96.654,-175.029,-234.491,-295.416,-335.875,-306.684,-210.083,261.336,428.451,573.799,640.374,675.515,607.296,378.247
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_chloride_1_smi1_1_s_1,2145.3,3190.5,5247.7,7341.2,3331.7,1444.2,977.2,-35.7,-82.5,-116.3,-170.8,-184.3,-94.8,-57.8,486.3,643.5,912.7,1104.2,745.7,742.2,563.2,-124.078,-288.314,-378.737,-550.171,-745.197,-513.5,-511.092,353.702,655.096,865.363,1195.019,1451.583,978.79,954.288
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,1860.1,2382.1,3529.8,4679.3,1656.5,828.1,549.4,-29.9,-62.9,-76.2,-99.7,-104.5,-53.9,-26.6,354.1,459.1,616.8,611.3,381.5,375.1,213.4,-93.932,-214.662,-255.557,-332.637,-387.91,-237.076,-244.773,284.188,544.878,654.613,766.983,822.35,463.604,488.517
ir_tbp_1_dft-pyz_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,2613.3,4220.0,4304.6,3581.5,2002.7,906.0,368.1,-53.7,-145.0,-177.4,-180.5,-154.3,-84.0,-30.9,432.3,713.0,806.6,677.5,547.7,288.0,107.1,-112.425,-286.195,-396.601,-434.24,-422.274,-320.368,-186.144,289.905,607.595,830.219,812.98,770.076,550.832,331.146
ir_tbp_1_dft-ime_1_dft-py_1_dft-co_1_fluoride_1_smi1_1_s_1,1844.8,2309.9,3290.2,4409.1,1813.7,840.7,562.0,-33.2,-66.1,-75.8,-105.9,-100.3,-53.3,-44.0,308.8,401.9,554.2,548.1,367.7,300.7,220.0,-92.683,-190.185,-229.431,-303.408,-342.046,-224.87,-202.801,268.337,471.405,597.069,679.812,735.194,446.44,364.529
ir_tbp_1_dft-pet3_1_dft-pme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,1877.0,3444.2,6477.3,4719.3,2550.3,1085.8,-20.4,-37.0,-80.8,-134.7,-182.7,-209.7,-111.2,-20.4,419.0,561.2,843.3,927.3,930.3,482.8,-20.4,-119.961,-256.462,-363.944,-618.101,-760.908,-800.088,-430.297,307.119,515.408,726.706,1133.839,1312.722,1351.902,692.363
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,1586.2,2696.3,4386.0,2019.6,1291.1,532.2,-6.9,-30.8,-57.7,-90.0,-104.4,-100.9,-40.8,-6.9,257.2,356.3,516.0,330.6,298.1,169.2,-6.9,-82.126,-155.121,-221.545,-374.654,-285.412,-252.263,-110.448,219.584,349.659,488.225,686.266,528.368,462.277,173.052
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_bromide_1_smi1_1_s_1,1863.3,2670.2,4138.6,7617.4,4000.8,1920.7,1788.6,-32.7,-62.8,-85.4,-113.6,-139.2,-95.3,-71.4,411.3,489.2,688.6,774.4,562.8,678.7,960.6,-116.821,-247.102,-272.005,-354.31,-474.034,-407.958,-407.867,344.189,609.818,705.245,858.41,1010.096,935.742,915.553
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-cn_1_smi1_1_s_1,1604.0,2728.2,4287.4,2267.5,1561.7,693.0,199.7,-34.0,-61.8,-98.6,-111.5,-106.3,-60.0,-19.3,266.0,370.2,543.4,332.5,256.7,201.0,61.7,-86.856,-163.572,-245.225,-395.065,-288.076,-235.988,-153.055,221.004,358.488,529.315,718.565,528.674,410.602,262.325
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,2355.7,4123.9,5359.5,3087.5,1421.6,513.0,-8.7,-41.3,-94.1,-136.5,-173.5,-129.4,-36.0,-8.7,348.7,493.9,754.5,513.5,368.6,174.0,-8.7,-96.012,-216.342,-298.906,-544.525,-358.36,-291.888,-112.229,257.598,483.378,630.164,1006.925,579.68,539.922,171.271
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,2396.6,3851.9,5995.1,9139.6,7764.4,6318.8,5410.0,-69.4,-129.1,-181.9,-235.4,-305.6,-380.2,-341.0,548.6,758.9,1108.1,1279.6,1572.4,1758.8,1774.0,-191.138,-350.896,-482.888,-610.495,-809.014,-1105.573,-1211.971,488.782,782.684,1087.732,1332.305,1757.036,2254.577,2468.759
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_dft-itcn_1_smi1_1_s_1,1825.5,3058.8,5212.6,4957.2,2515.0,1977.5,953.4,-37.5,-73.2,-112.4,-151.8,-164.0,-119.5,-45.6,382.5,526.8,688.6,799.2,673.0,414.5,143.4,-111.97,-235.448,-333.655,-456.472,-616.689,-537.75,-313.924,301.85,529.282,715.745,940.928,1193.601,1017.03,589.226
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,2133.8,3522.1,6169.4,2488.9,1088.9,-19.8,0.0,-38.2,-89.9,-142.6,-205.1,-135.1,-19.8,0.0,381.8,546.1,967.4,604.9,458.9,-19.8,0.0,-102.31,-238.792,-321.685,-737.924,-439.523,-429.697,0.0,271.31,512.348,701.975,1317.076,671.617,692.963,0.0
